Date,BTC_Daily_Return,LINK_Daily_Return,Rolling_30_Day_Correlation
2018-07-19,1.201644,-5.417414,0.7413227021530994
2018-07-20,-1.51686,-5.272276,0.745087019752891
2018-07-21,0.905377,2.493969,0.7451829166885385
2018-07-22,0.009308,-9.866602,0.7109745544437335
2018-07-23,3.997458,-2.649047,0.679791327522255
2018-07-24,9.172019,3.599473,0.6371638285780993
2018-07-25,-2.366087,21.389685,0.4788042865592947
2018-07-26,-2.754973,2.778514,0.4489278847851028
2018-07-27,2.699359,5.67168,0.4538470946468197
2018-07-28,0.282656,4.945903,0.43713117855736144
2018-07-29,0.154033,16.801759,0.3787030491599344
2018-07-30,-0.499905,-3.377074,0.3744705564700304
2018-07-31,-4.898551,-6.307797,0.40359153511014717
2018-08-01,-1.855183,-3.307239,0.3862795247475112
2018-08-02,-0.878155,7.367046,0.35973286056916814
2018-08-03,-1.689337,-8.191768,0.37670181848451617
2018-08-04,-5.455543,-9.503267,0.42910995685989417
2018-08-05,0.531923,-1.129079,0.42918998354049004
2018-08-06,-1.573568,-6.992361,0.4224094654864745
2018-08-07,-2.948984,-0.367453,0.41850289738889207
2018-08-08,-6.537129,-2.686744,0.41677857803262225
2018-08-09,4.165687,21.01217,0.41595454917458696
2018-08-10,-5.884725,-0.539076,0.41292203451600756
2018-08-11,1.777298,-1.383053,0.40316596876442723
2018-08-12,0.621296,4.425608,0.4046160039718009
2018-08-13,-0.690547,-8.763602,0.406780506893259
2018-08-14,-1.398775,5.303319,0.3979067369714758
2018-08-15,1.400004,-6.276681,0.3381575065450984
2018-08-16,0.643446,4.433202,0.2648361648516607
2018-08-17,3.780526,8.130926,0.3009572162724807
2018-08-18,-2.425338,-6.542887,0.33062211965094296
2018-08-19,1.300103,9.695696,0.3363292052810717
2018-08-20,-2.953307,-3.965257,0.34598753353250405
2018-08-21,2.9787,7.228993,0.3785689781628157
2018-08-22,-1.688804,0.330043,0.41863861186212825
2018-08-23,2.566808,2.09422,0.46694123074464816
2018-08-24,2.571006,4.713431,0.5849501705323202
2018-08-25,0.643453,-4.70618,0.5782113807619287
2018-08-26,-0.701449,3.410345,0.5680639823288272
2018-08-27,2.590456,2.236149,0.5606487607578076
2018-08-28,2.977758,0.163455,0.5794403886502987
2018-08-29,-0.628196,-8.109167,0.5695707133403176
2018-08-30,-0.930324,-1.028638,0.5509882083602043
2018-08-31,0.912104,7.363995,0.5495982497449273
2018-09-01,2.107082,0.08476,0.5609029730350812
2018-09-02,1.156398,-5.260754,0.5322413125522742
2018-09-03,-0.260608,-2.246207,0.4797886880863996
2018-09-04,1.358394,-2.269155,0.4710635877876844
2018-09-05,-7.724417,-10.361964,0.5336980780882089
2018-09-06,-3.34516,1.985494,0.5177187098489396
2018-09-07,-0.947325,-4.262369,0.5312193025878875
2018-09-08,-3.625136,-7.570652,0.503991926992008
2018-09-09,1.244982,-0.698351,0.5458876898731803
2018-09-10,0.446403,3.330842,0.5542989288906124
2018-09-11,-0.168665,5.46844,0.5413983694546917
2018-09-12,0.550736,-2.854636,0.5429043976527683
2018-09-13,2.566315,6.932749,0.5958479395844917
2018-09-14,-0.041443,-1.28705,0.6343001384107565
2018-09-15,0.519254,-0.176077,0.6360109785795165
2018-09-16,-0.298317,1.003908,0.6017155916570027
2018-09-17,-3.574727,-2.246658,0.5814011336573028
2018-09-18,1.439117,8.301128,0.5898491968975592
2018-09-19,0.418873,13.111645,0.5252117755760564
2018-09-20,1.888149,7.993371,0.5134596578354766
2018-09-21,3.39399,-0.216067,0.49454462529825527
2018-09-22,-0.194057,-4.501053,0.4907821999057166
2018-09-23,-0.069839,1.012455,0.4744466507104387
2018-09-24,-1.631076,-2.367741,0.4968006004072993
2018-09-25,-2.38005,-2.094882,0.5114022021094978
2018-09-26,0.654135,6.970872,0.5078314516107845
2018-09-27,2.793716,0.251795,0.5104740594195641
2018-09-28,-0.518362,-3.222706,0.5213568960000243
2018-09-29,-0.619291,-1.652655,0.52095195698156
2018-09-30,0.315685,0.908458,0.5183645143824922
2018-10-01,-0.456657,-2.280497,0.5277133872317873
2018-10-02,-0.563306,-1.066348,0.5669782434589088
2018-10-03,-0.782287,-3.177017,0.5697708630064976
2018-10-04,1.212386,3.312072,0.5975453789106925
2018-10-05,0.735153,11.098502,0.47420153531080966
2018-10-06,-0.515521,-6.023587,0.5226202310912172
2018-10-07,0.186172,0.131382,0.5123412641866306
